ID1;ID;D;SD;MATERIAL;COUNTRY;SITE;PERIOD;REFERENCE;SC
;Beta-80002;6470;70;charcoal;Albania;Konispol;neolithic;(Schuldenrein J., 1998: 510);AL2KON
;Beta-80003;5200;80;charcoal;Albania;Konispol;neolithic;(Schuldenrein J., 1998: 510);AL2KON
;Beta-80603;6540;60;;Italy;Defensola ;neolithic;Fiorentino 13;IT2DEF
27259;Beta-80604;6570;70;;Italy;Defensola ;neolithic;Fiorentino 13;IT2DEF
;Beta-80605;5170;70;;Italy;Martinetti ;neolithic;Fiorentino 13;IT2MAR
;Birm- 2;5820;135;char;Italy;Fimon Molino Casaroto;neolithic;Biagi;IT2FMC
;Birm-1005;4130;100;charcoal;Italy;Tolerait;neolithic;;IT2TOLE
28014;Birm-103;5520;140;bone;Italy;Rocca di Rivoli;neolithic;Birm Datelist IV;﻿IT2ROCCA
28015;Birm-104;5670;130;bone;Italy;Rocca di Rivoli;neolithic;Birm Datelist X;﻿IT2ROCCA
;Birm-1132;4420;90;;Italy;Manebra;neolithic;;IT2MANEB
27335;Birm-172;6240;100;charcoal;Italy;Fimon-Molino Casarotto, site 4;neolithic;Birm Datelist IV;﻿IT2FMC
27336;Birm-173;6290;150;charcoal;Italy;Fimon-Molino Casarotto, site 4;neolithic;--;﻿IT2FMC
27337;Birm-174;6350;140;charcoal;Italy;Fimon-Molino Casarotto, site 4;neolithic;--;﻿IT2FMC
27333;Birm-175;6450;110;wood;Italy;Fimon-Molino Casarotto, Site 3;neolithic;--;﻿IT2FMC
27338;Birm-176;6470;150;wood;Italy;Fimon-Molino Casarotto, site 4;neolithic;--;﻿IT2FMC
27339;Birm-177;6125;150;peat;Italy;Fimon-Molino Casarotto, site 4;neolithic;--;﻿IT2FMC
27340;Birm-261;5780;135;charcoal;Italy;Fimon-Molino Casarotto, site 4;neolithic;Birm Datelist VI;﻿IT2FMC
27341;Birm-262;5820;135;charcoal;Italy;Fimon-Molino Casarotto, site 4;neolithic;Birm Datelist VI;﻿IT2FMC
27342;Birm-263;5525;200;charcoal;Italy;Fimon-Molino Casarotto, site 4;neolithic;Birm Datelist VI;﻿IT2FMC
27343;Birm-264;5750;135;charcoal;Italy;Fimon-Molino Casarotto, site 4;neolithic;Birm Datelist VI;﻿IT2FMC
27344;Birm-265;5930;130;charcoal;Italy;Fimon-Molino Casarotto, site 4;neolithic;Birm Datelist VI;﻿IT2FMC
27345;Birm-266;5555;130;charcoal;Italy;Fimon-Molino Casarotto, site 4;neolithic;Birm Datelist VI;﻿IT2FMC
27346;Birm-267;5700;130;charcoal;Italy;Fimon-Molino Casarotto, site 4;neolithic;Birm Datelist VI;﻿IT2FMC
27364;Birm-268;4890;130;wood;Italy;Fimon-Molino Casarotto, site 7;Chalcolithic;Birm Datelist VI;﻿IT2FMC
;Birm-2a;5525;50;char;Italy;Fimon Molino Casaroto;neolithic;Biagi;IT2FMC
;Birm-2b;5700;135;char;Italy;Fimon Molino Casaroto;neolithic;Biagi;IT2FMC
;Birm-2c;5750;135;char;Italy;Fimon Molino Casaroto;neolithic;Biagi;IT2FMC
;Birm-2d;5780;135;char;Italy;Fimon Molino Casaroto;neolithic;Biagi;IT2FMC
;Birm-2e;5930;130;char;Italy;Fimon Molino Casaroto;neolithic;Biagi;IT2FMC
;Birm-2f;5555;50;char;Italy;Fimon Molino Casaroto;neolithic;Biagi;IT2FMC
27750;Birm-469;3840;210;charcoal;Italy;Monte Covolo;Bronze Age;Birm Datelist IX;﻿IT2MCOV
27751;Birm-470;3810;210;charcoal;Italy;Monte Covolo;Chalcolithic;Birm Datelist IX;﻿IT2MCOV
27752;Birm-471;3950;320;charcoal;Italy;Monte Covolo;Chalcolithic;Birm Datelist IX;﻿IT2MCOV
27753;Birm-472;4240;190;charcoal;Italy;Monte Covolo;neolithic;Birm Datelist IX;﻿IT2MCOV
27754;Birm-473;4790;210;charcoal;Italy;Monte Covolo;neolithic;Birm Datelist IX;﻿IT2MCOV
28016;Birm-616;5070;100;bone;Italy;Rocca di Rivoli;neolithic;Barfield and Bagolini 1976, 140;﻿IT2ROCCA
28017;Birm-617;5370;70;bone;Italy;Rocca di Rivoli;neolithic;Birm Datelist X;﻿IT2ROCCA
;Birm-830;7060;130;;Italy;Passo della Comunell;mesolithic;P. Biagi, et al. (1993: 46);IT2PACO
